State,Date,Total_cases,New_cases,Total_deaths,New_deaths,Active_cases,Cases_per_million,Deaths_per_million,Total_tests,Tests_per_million
New York,4/29/20,305086,3636,23474,330,234649,15551,1197,872481,44472
New Jersey,4/29/20,116264,2408,6770,328,108223,13090,762,240246,27049
Massachusetts,4/29/20,60265,1963,3405,252,48742,8823,499,265618,38889
California,4/29/20,50355,2253,2215,90,47534,3927,173,256667,20018
Pennsylvania,4/29/20,46506,343,1873,11,41296,1188,48,577608,14754
Illinois,4/29/20,45728,712,2354,294,42609,3575,184,214884,16799
Michigan,4/29/20,40399,1137,3670,103,28387,4057,369,177228,17798
Florida,4/29/20,33193,347,1218,47,31289,1611,59,375300,18220
Louisiana,4/29/20,27660,374,1845,44,8512,5931,396,156568,33572
Connecticut,4/29/20,27054,883,732,42,14536,970,26,314790,11289
Texas,4/29/20,26767,455,2168,79,24534,7474,605,94818,26474
Georgia,4/29/20,25634,780,1095,59,24508,2489,106,143778,13962
Maryland,4/29/20,20849,736,1078,62,18508,3473,180,110929,18478
Ohio,4/29/20,17303,534,937,138,16246,1486,80,128206,11012
Indiana,4/29/20,17182,594,1065,73,16103,2589,160,91550,13793
Washington,4/29/20,14961,622,522,30,12397,1778,62,85307,10139
Colorado,4/29/20,14758,442,766,30,13433,2668,138,69449,12556
Virginia,4/29/20,13842,,786,,11205,1898,108,182515,25021
Tennessee,4/29/20,10366,314,195,7,5031,1559,29,168549,25342
North Carolina,4/29/20,10092,353,379,18,8411,994,37,118440,11663
Missouri,4/29/20,8247,321,251,12,7654,7805,238,60165,56941
Rhode Island,4/29/20,7576,200,338,11,6691,1244,56,73503,12069
Alabama,4/29/20,7202,254,304,11,6828,1037,44,68813,9906
Arizona,4/29/20,6904,154,255,13,6629,1419,52,85367,17548
Mississippi,4/29/20,6843,467,148,12,4531,2185,47,41337,13196
Wisconsin,4/29/20,6569,227,250,11,6319,2198,84,66094,22114
South Carolina,4/29/20,6520,231,308,8,3002,1128,53,73150,12659
Nevada,4/29/20,5881,146,203,11,1977,1187,41,54217,10940
Iowa,4/29/20,4898,93,230,5,1763,1676,79,50526,17287
Utah,4/29/20,4655,80,144,7,3338,4903,152,21538,22684
Kentucky,4/29/20,4644,463,319,18,2282,840,58,66744,12075
District of Columbia,4/29/20,4539,164,235,10,3182,1022,53,54101,12184
Delaware,4/29/20,4495,152,45,,3562,1476,15,102439,33638
Oklahoma,4/29/20,4106,112,205,15,3241,5999,299,19229,28092
Minnesota,4/29/20,3784,410,68,13,3694,1987,36,25498,13386
Arkansas,4/29/20,3685,108,127,,3055,1267,44,28090,9657
Kansas,4/29/20,3473,63,214,7,940,886,55,61619,15727
New Mexico,4/29/20,3213,239,112,2,2396,1536,54,65085,31105
Oregon,4/29/20,3192,65,57,,1886,1067,19,45743,15295
Nebraska,4/29/20,2446,61,101,2,1485,599,25,54472,13345
South Dakota,4/29/20,2373,60,13,2,868,2746,15,16612,19220
Idaho,4/29/20,2054,44,66,6,1008,1529,49,21921,16315
New Hampshire,4/29/20,1984,32,60,,837,1175,36,28240,16732
West Virginia,4/29/20,1109,14,40,2,588,606,22,43227,23634
Maine,4/29/20,1056,16,52,1,389,792,39,17807,13360
Vermont,4/29/20,1033,42,19,,577,1373,25,25536,33948
North Dakota,4/29/20,862,,47,,815,1379,75,15429,24687
Hawaii,4/29/20,613,4,16,,81,431,11,29862,21000
Wyoming,4/29/20,544,8,7,,166,935,12,9306,15994
Montana,4/29/20,451,,16,1,53,433,15,13528,12986
Alaska,4/29/20,355,4,9,,106,481,12,19119,25888
